pid	cui	drugterm	source
1	C0039225    	tablet	RXNorm
2	C1154182    	spray	RXNorm
3	C0994475    	pill	RXNorm
4	C1697794    	liquid	RXNorm
5	C2948008    	blade	RXNorm
6	C0027608    	neon	RXNorm
7	C0009170    	cocaine	RXNorm
8	C0025424    	mercury	RXNorm
9	C0544341    	lotion	RXNorm
10	C0030054    	oxygen	RXNorm
11	C0006644    	caffeine	RXNorm
12	C0002367    	aluminum	RXNorm
13	C0991550    	syrup	RXNorm
14	C0225326    	fiber	RXNorm
15	C0037107    	silicon	RXNorm
16	C0011892    	heroin	RXNorm
17	C4050026    	matrix	RXNorm
18	C0452458    	orange juice	RXNorm
19	C0007955    	charcoal	RXNorm
20	C2946035    	scrubs	RXNorm
21	C0023115    	latex	RXNorm
22	C0040302    	titanium	RXNorm
23	C0040462    	toothpaste	RXNorm
24	C0162335    	hemp	RXNorm
25	C0663448    	viagra	RXNorm
26	C1871879    	alli	RXNorm
27	C0290795    	adderall	RXNorm
28	C1272883    	injection	RXNorm
29	C0137988    	alum	RXNorm
30	C3152857    	prevail	RXNorm
31	C0056060    	coconut oil	RXNorm
32	C2344238    	kerr	RXNorm
33	C1589613    	kroger	RXNorm
34	C2948667    	crest	RXNorm
35	C0452454    	apple juice	RXNorm
36	C0006935    	capsule	RXNorm
37	C0018880    	helium	RXNorm
38	C0023870    	lithium	RXNorm
39	C0041928    	uranium	RXNorm
40	C0008377    	cholesterol	RXNorm
41	C0069449    	olive oil	RXNorm
42	C0009214    	codeine	RXNorm
43	C0593507    	advil	RXNorm
44	C0699034    	xanax	RXNorm
45	C0700702    	botox	RXNorm
46	C0039601    	testosterone	RXNorm
47	C0020275    	hydrogen	RXNorm
48	C0075804    	tandem	RXNorm
49	C0939485    	surpass	RXNorm
50	C0678430    	elixir	RXNorm
51	C0723764    	tobi	RXNorm
52	C0009148    	cobalt	RXNorm
53	C2719416    	vortex	RXNorm
54	C0022949    	lactose	RXNorm
55	C0042866    	vitamin d	RXNorm
56	C0028040    	nicotine	RXNorm
57	C0702216    	soma	RXNorm
